Loss weights | lam_time=100, lam_self=1, lam_psd=100
cuda
train size: 2592
validation size: 864
epoch 1  train 11690.617917  val 11027.604420
epoch 2  train 4778.611180  val 6180.912833
epoch 3  train 3926.678159  val 3768.680131
epoch 4  train 3671.274462  val 3641.519875
epoch 5  train 3578.546736  val 3512.068314
epoch 6  train 3480.216161  val 3466.565683
epoch 7  train 3360.606234  val 3284.157778
epoch 8  train 3229.526033  val 3180.918737
epoch 9  train 3148.025345  val 3144.572917
epoch 10  train 3066.164825  val 3025.000326
epoch 11  train 2923.413273  val 2829.464274
epoch 12  train 2768.068347  val 2726.743200
epoch 13  train 2703.256782  val 2676.834138
epoch 14  train 2677.313537  val 2670.677120
epoch 15  train 2641.895234  val 2599.133039
epoch 16  train 2603.713135  val 2580.926197
epoch 17  train 2554.394806  val 2516.842448
epoch 18  train 2500.721170  val 2484.837384
epoch 19  train 2438.483082  val 2423.788592
epoch 20  train 2382.468852  val 2376.666025
epoch 21  train 2336.579195  val 2324.302508
epoch 22  train 2232.004250  val 2252.485876
epoch 23  train 2165.091081  val 2289.415609
epoch 24  train 2139.427780  val 2214.980966
epoch 25  train 2098.323321  val 2202.198061
epoch 26  train 2095.611271  val 2170.644323
epoch 27  train 2052.778797  val 2127.257026
epoch 28  train 2035.043948  val 2126.788529
epoch 29  train 2047.663841  val 2243.012397
epoch 30  train 2064.650843  val 2188.239167
epoch 31  train 2015.746012  val 2051.257794
epoch 32  train 1998.118713  val 2047.947266
epoch 33  train 1969.377318  val 2009.311013
epoch 34  train 1955.035816  val 2064.587384
epoch 35  train 1941.232937  val 1990.552526
epoch 36  train 1929.443108  val 1958.674949
epoch 37  train 1916.428063  val 2082.971273
epoch 38  train 1935.110403  val 1938.009512
epoch 39  train 1878.568979  val 1946.384214
epoch 40  train 1874.978706  val 1912.957746
epoch 41  train 1878.370666  val 1906.961457
epoch 42  train 1835.000151  val 1937.535586
epoch 43  train 1816.734517  val 1842.640679
epoch 44  train 1776.566399  val 1809.808860
epoch 45  train 1743.064842  val 1802.565936
epoch 46  train 1750.703402  val 1789.170324
epoch 47  train 1748.529735  val 1760.885697
epoch 48  train 1698.361857  val 1717.824698
epoch 49  train 1660.427897  val 1709.177992
epoch 50  train 1671.453304  val 1715.009784
epoch 51  train 1659.795118  val 1692.514178
epoch 52  train 1679.194851  val 1674.349695
epoch 53  train 1605.224335  val 1631.298091
epoch 54  train 1588.711881  val 1612.210919
epoch 55  train 1565.133203  val 1602.329572
epoch 56  train 1593.953536  val 1602.473538
epoch 57  train 1558.611183  val 1590.784089
epoch 58  train 1555.747932  val 1579.237983
epoch 59  train 1547.705179  val 1598.218727
epoch 60  train 1575.833228  val 1631.688133
epoch 61  train 1566.636262  val 1597.918308
epoch 62  train 1520.881738  val 1564.369814
epoch 63  train 1486.505865  val 1533.468434
epoch 64  train 1483.341083  val 1527.486794
epoch 65  train 1465.330300  val 1530.562292
epoch 66  train 1455.750937  val 1495.832086
epoch 67  train 1438.419764  val 1496.872911
epoch 68  train 1459.979860  val 1475.513193
epoch 69  train 1426.385646  val 1470.226929
epoch 70  train 1403.646490  val 1466.156580
epoch 71  train 1407.305084  val 1443.887519
epoch 72  train 1385.871546  val 1468.256768
epoch 73  train 1390.006675  val 1466.600997
epoch 74  train 1403.526845  val 1446.091128
epoch 75  train 1390.500901  val 1497.063178
epoch 76  train 1420.940666  val 1455.343768
epoch 77  train 1366.806999  val 1418.465147
epoch 78  train 1353.035031  val 1398.294696
epoch 79  train 1351.893065  val 1412.919818
epoch 80  train 1349.142289  val 1409.357218
epoch 81  train 1343.101356  val 1437.216394
epoch 82  train 1340.686775  val 1398.402258
epoch 83  train 1339.693745  val 1418.425162
epoch 84  train 1333.261126  val 1376.736274
epoch 85  train 1323.983956  val 1375.925867
epoch 86  train 1308.992754  val 1370.362535
epoch 87  train 1307.366509  val 1356.282918
epoch 88  train 1309.913678  val 1405.351382
epoch 89  train 1359.149889  val 1373.786888
epoch 90  train 1300.996498  val 1341.481635
epoch 91  train 1276.528329  val 1338.765544
epoch 92  train 1260.334964  val 1333.192473
epoch 93  train 1279.959057  val 1330.286079
epoch 94  train 1267.334935  val 1316.645101
epoch 95  train 1255.214105  val 1333.769730
epoch 96  train 1251.723909  val 1300.842950
epoch 97  train 1251.977447  val 1307.950575
epoch 98  train 1250.160798  val 1308.225455
epoch 99  train 1243.391748  val 1310.522868
epoch 100  train 1234.015202  val 1296.641077
epoch 101  train 1230.246222  val 1315.258649
epoch 102  train 1218.240824  val 1284.423982
epoch 103  train 1211.547476  val 1290.143216
epoch 104  train 1232.619647  val 1306.029993
epoch 105  train 1295.465245  val 1326.419922
epoch 106  train 1249.181924  val 1292.658244
epoch 107  train 1227.006645  val 1306.955779
epoch 108  train 1241.717257  val 1299.835607
epoch 109  train 1223.401834  val 1274.207578
epoch 110  train 1187.762266  val 1253.717154
epoch 111  train 1209.279446  val 1268.151598
epoch 112  train 1201.766522  val 1249.782376
epoch 113  train 1183.430854  val 1267.254322
epoch 114  train 1180.128406  val 1241.387514
epoch 115  train 1178.820234  val 1251.133079
epoch 116  train 1184.893981  val 1274.018713
epoch 117  train 1169.021124  val 1247.105202
epoch 118  train 1177.433588  val 1270.098768
epoch 119  train 1195.366359  val 1240.517849
epoch 120  train 1180.640003  val 1264.027959
epoch 121  train 1179.171179  val 1246.897832
epoch 122  train 1165.490135  val 1224.767094
epoch 123  train 1180.694622  val 1249.326836
epoch 124  train 1170.818252  val 1225.504141
epoch 125  train 1148.417455  val 1214.728832
epoch 126  train 1158.708680  val 1257.653646
epoch 127  train 1183.560413  val 1219.108697
epoch 128  train 1157.137686  val 1212.680678
epoch 129  train 1136.970144  val 1204.343854
epoch 130  train 1135.238723  val 1230.300099
epoch 131  train 1144.565086  val 1224.532787
epoch 132  train 1134.443506  val 1241.179181
epoch 133  train 1142.713952  val 1200.604917
epoch 134  train 1134.241500  val 1243.411594
epoch 135  train 1147.860349  val 1257.014192
epoch 136  train 1139.473613  val 1275.168240
epoch 137  train 1139.834519  val 1221.763025
epoch 138  train 1113.517996  val 1204.494828
epoch 139  train 1135.826194  val 1220.416300
epoch 140  train 1129.784386  val 1195.986396
epoch 141  train 1139.647146  val 1209.131339
epoch 142  train 1105.696027  val 1204.772013
epoch 143  train 1113.890734  val 1218.392470
epoch 144  train 1105.851555  val 1178.638337
epoch 145  train 1097.862760  val 1198.187708
epoch 146  train 1121.969882  val 1169.682902
epoch 147  train 1092.875030  val 1208.331484
epoch 148  train 1113.712645  val 1185.571312
epoch 149  train 1125.411743  val 1253.457990
epoch 150  train 1113.653586  val 1176.681840
epoch 151  train 1086.167058  val 1197.573491
epoch 152  train 1089.693967  val 1175.693771
epoch 153  train 1082.609618  val 1169.395662
epoch 154  train 1084.770089  val 1193.638319
epoch 155  train 1133.614879  val 1212.952917
epoch 156  train 1124.218045  val 1308.746962
epoch 157  train 1133.600257  val 1191.925605
epoch 158  train 1081.714393  val 1208.106522
epoch 159  train 1096.617209  val 1166.373585
epoch 160  train 1068.319699  val 1139.951954
epoch 161  train 1065.476320  val 1157.368815
epoch 162  train 1076.083315  val 1142.687541
