Loss weights | lam_time=100, lam_self=1, lam_psd=0
cuda
train size: 2592
validation size: 864
epoch 1  train 79.287304  val 104.789846
epoch 2  train 38.156555  val 55.002337
epoch 3  train 28.936913  val 25.884930
epoch 4  train 23.526427  val 22.784884
epoch 5  train 20.274930  val 20.301327
epoch 6  train 18.128290  val 18.858738
epoch 7  train 16.721407  val 18.378955
epoch 8  train 15.706680  val 16.293498
epoch 9  train 14.732850  val 15.482933
epoch 10  train 14.315419  val 14.684390
epoch 11  train 13.429774  val 13.945629
epoch 12  train 13.141461  val 14.076025
epoch 13  train 12.800293  val 13.448899
epoch 14  train 11.991883  val 12.707406
epoch 15  train 11.613316  val 12.109171
epoch 16  train 11.182758  val 11.860059
epoch 17  train 10.914351  val 11.098037
epoch 18  train 10.717891  val 12.339264
epoch 19  train 11.161582  val 11.330357
epoch 20  train 10.389353  val 11.145994
epoch 21  train 10.113534  val 10.664050
epoch 22  train 9.910582  val 10.498962
epoch 23  train 9.735062  val 10.227982
epoch 24  train 9.429305  val 10.552659
epoch 25  train 9.706660  val 10.425817
epoch 26  train 9.479647  val 10.068235
epoch 27  train 9.402557  val 10.029962
epoch 28  train 9.565413  val 9.944173
epoch 29  train 9.513278  val 9.829587
epoch 30  train 9.399753  val 9.544398
epoch 31  train 9.250772  val 9.576974
epoch 32  train 9.156590  val 9.555221
epoch 33  train 9.009666  val 9.764238
epoch 34  train 8.427077  val 9.449218
epoch 35  train 8.657980  val 9.149176
epoch 36  train 8.573283  val 9.341876
epoch 37  train 8.523541  val 9.432482
epoch 38  train 8.725087  val 9.013648
epoch 39  train 8.302745  val 9.300525
epoch 40  train 8.214526  val 9.409784
epoch 41  train 8.308283  val 8.833762
epoch 42  train 7.888123  val 8.716000
epoch 43  train 8.316788  val 9.045506
epoch 44  train 8.009025  val 9.311667
epoch 45  train 8.003504  val 8.821355
epoch 46  train 7.921202  val 8.477690
epoch 47  train 7.856426  val 8.343437
epoch 48  train 7.615564  val 8.326781
epoch 49  train 7.829628  val 8.407985
epoch 50  train 7.749918  val 8.666268
epoch 51  train 7.895738  val 8.332327
epoch 52  train 7.720220  val 8.550035
epoch 53  train 7.797011  val 8.784717
epoch 54  train 7.902331  val 8.220601
epoch 55  train 7.911346  val 8.301850
epoch 56  train 7.855605  val 8.420510
epoch 57  train 7.544795  val 8.094390
epoch 58  train 7.298208  val 8.113626
epoch 59  train 7.243782  val 7.965506
epoch 60  train 7.343387  val 8.153007
epoch 61  train 7.359097  val 7.998805
epoch 62  train 7.105868  val 7.949972
epoch 63  train 7.229556  val 7.729991
epoch 64  train 7.358216  val 7.905199
epoch 65  train 7.325458  val 7.819273
epoch 66  train 7.077646  val 7.657527
epoch 67  train 6.844515  val 7.784443
epoch 68  train 7.446271  val 7.742817
epoch 69  train 7.152516  val 7.695948
epoch 70  train 7.004211  val 8.274939
epoch 71  train 7.368137  val 7.692462
epoch 72  train 7.099335  val 7.635615
epoch 73  train 6.860724  val 7.758408
epoch 74  train 7.468662  val 7.630301
epoch 75  train 7.294969  val 7.828800
epoch 76  train 7.220917  val 7.565397
epoch 77  train 7.096902  val 7.774007
epoch 78  train 7.045853  val 7.423443
epoch 79  train 7.076217  val 7.512945
epoch 80  train 7.195157  val 7.502770
epoch 81  train 7.106937  val 7.425747
epoch 82  train 6.660268  val 7.269256
epoch 83  train 6.811486  val 7.312815
epoch 84  train 6.714902  val 7.207779
epoch 85  train 6.853639  val 7.389143
epoch 86  train 6.813931  val 7.310334
epoch 87  train 6.757104  val 7.465648
epoch 88  train 6.733666  val 7.056197
epoch 89  train 6.697362  val 7.226540
epoch 90  train 6.670664  val 7.126081
epoch 91  train 6.531311  val 7.197796
epoch 92  train 6.629751  val 7.265092
epoch 93  train 6.507678  val 7.105498
epoch 94  train 6.426884  val 7.078434
epoch 95  train 6.459379  val 7.049406
epoch 96  train 6.728933  val 7.087634
epoch 97  train 6.502815  val 7.248129
epoch 98  train 6.598226  val 6.932124
epoch 99  train 6.579514  val 7.003500
epoch 100  train 6.545970  val 7.137397
epoch 101  train 6.819667  val 6.974745
epoch 102  train 6.587833  val 6.957178
epoch 103  train 6.574986  val 7.102136
epoch 104  train 6.553415  val 6.902508
epoch 105  train 6.406001  val 7.149135
epoch 106  train 6.505107  val 7.093027
epoch 107  train 6.747419  val 7.002454
epoch 108  train 6.380410  val 7.229615
epoch 109  train 6.392790  val 7.105095
epoch 110  train 6.611599  val 6.956277
epoch 111  train 6.417438  val 7.224989
epoch 112  train 6.513730  val 6.845775
epoch 113  train 6.494550  val 6.706780
epoch 114  train 6.479296  val 7.012767
epoch 115  train 6.389462  val 6.920118
epoch 116  train 6.103919  val 6.738884
epoch 117  train 6.137464  val 6.679911
epoch 118  train 6.067755  val 6.670955
epoch 119  train 5.974810  val 6.590893
epoch 120  train 6.010416  val 6.821848
epoch 121  train 5.977713  val 6.696636
epoch 122  train 6.013216  val 6.621930
epoch 123  train 5.942063  val 6.758613
epoch 124  train 5.977259  val 6.269996
epoch 125  train 5.977794  val 6.644499
epoch 126  train 5.836489  val 6.453166
epoch 127  train 5.765760  val 6.320732
epoch 128  train 5.694886  val 6.389965
epoch 129  train 5.775698  val 6.307635
epoch 130  train 5.764407  val 6.599770
epoch 131  train 5.850991  val 6.376852
epoch 132  train 5.922336  val 6.408158
epoch 133  train 5.992517  val 6.215939
epoch 134  train 5.803744  val 6.329446
epoch 135  train 5.765761  val 6.149636
epoch 136  train 5.468499  val 6.132465
epoch 137  train 5.756559  val 6.171594
epoch 138  train 5.810934  val 6.083244
epoch 139  train 5.688619  val 6.124827
epoch 140  train 5.567910  val 6.275460
epoch 141  train 5.598972  val 6.210813
epoch 142  train 5.627882  val 6.267792
epoch 143  train 5.772401  val 6.095499
epoch 144  train 5.625991  val 6.143058
epoch 145  train 5.499424  val 6.164476
epoch 146  train 5.634554  val 6.238797
epoch 147  train 5.426074  val 6.111913
epoch 148  train 5.439054  val 5.933790
epoch 149  train 5.410567  val 5.923415
epoch 150  train 5.442752  val 6.080319
epoch 151  train 5.391429  val 6.063762
epoch 152  train 5.438424  val 5.952920
epoch 153  train 5.345679  val 5.998161
epoch 154  train 5.451882  val 6.014168
epoch 155  train 5.122909  val 5.809435
epoch 156  train 5.532979  val 5.917686
epoch 157  train 5.403523  val 5.867509
epoch 158  train 5.106955  val 5.910348
epoch 159  train 5.102888  val 6.102065
epoch 160  train 5.484503  val 5.960491
epoch 161  train 5.347432  val 5.784009
epoch 162  train 5.206797  val 5.819540
epoch 163  train 5.328104  val 5.954494
epoch 164  train 5.159173  val 5.904306
epoch 165  train 5.178528  val 6.034738
epoch 166  train 5.386706  val 5.742061
epoch 167  train 4.935966  val 5.922520
epoch 168  train 5.229178  val 5.749562
epoch 169  train 5.356425  val 5.756717
epoch 170  train 5.099645  val 5.728489
epoch 171  train 5.080048  val 5.787466
epoch 172  train 5.224475  val 5.837852
epoch 173  train 5.303326  val 5.706213
epoch 174  train 5.252228  val 5.843411
epoch 175  train 5.223772  val 5.822496
epoch 176  train 5.263213  val 5.684683
epoch 177  train 5.234671  val 5.664961
epoch 178  train 5.007149  val 5.656652
epoch 179  train 5.064566  val 5.886848
epoch 180  train 5.169927  val 5.561071
epoch 181  train 5.122505  val 5.564633
epoch 182  train 5.215219  val 5.556595
epoch 183  train 5.045203  val 5.474732
epoch 184  train 4.944787  val 5.527469
epoch 185  train 5.023114  val 5.491083
epoch 186  train 5.020766  val 5.533523
epoch 187  train 4.774571  val 5.748636
epoch 188  train 5.004670  val 5.826250
epoch 189  train 5.132163  val 6.145547
epoch 190  train 5.407296  val 5.741134
epoch 191  train 5.069263  val 5.501798
epoch 192  train 4.909191  val 5.558175
epoch 193  train 5.051868  val 5.457144
epoch 194  train 5.194254  val 5.519240
epoch 195  train 5.057381  val 5.571289
epoch 196  train 4.696591  val 5.352869
epoch 197  train 5.181457  val 5.679317
epoch 198  train 5.104130  val 5.358062
epoch 199  train 4.701281  val 5.367182
epoch 200  train 4.881216  val 5.342517
epoch 201  train 4.764574  val 5.461976
epoch 202  train 4.907985  val 5.358326
epoch 203  train 4.730349  val 5.371635
epoch 204  train 4.701096  val 5.439043
epoch 205  train 4.992476  val 5.398530
epoch 206  train 4.800953  val 5.359139
epoch 207  train 4.953159  val 5.267527
epoch 208  train 4.909081  val 5.461464
epoch 209  train 4.663747  val 5.334522
epoch 210  train 4.925146  val 5.401801
epoch 211  train 4.798147  val 5.426226
epoch 212  train 4.873217  val 5.311319
epoch 213  train 4.684490  val 5.454174
epoch 214  train 4.954734  val 5.457198
epoch 215  train 4.615895  val 5.266893
epoch 216  train 4.742714  val 5.249525
epoch 217  train 4.534412  val 5.243762
epoch 218  train 4.446344  val 5.298175
epoch 219  train 4.762385  val 5.161314
epoch 220  train 4.851019  val 5.245091
epoch 221  train 4.752173  val 5.231803
epoch 222  train 4.731183  val 5.345735
epoch 223  train 4.749387  val 5.146514
epoch 224  train 4.555322  val 5.206698
epoch 225  train 4.686618  val 5.111438
epoch 226  train 4.589861  val 5.271867
epoch 227  train 4.801841  val 5.243588
epoch 228  train 4.777967  val 5.220134
epoch 229  train 4.791460  val 5.362793
epoch 230  train 4.640667  val 5.321354
epoch 231  train 4.699031  val 5.295299
epoch 232  train 4.901553  val 5.271939
epoch 233  train 4.729005  val 5.414445
epoch 234  train 4.740869  val 5.285754
epoch 235  train 4.717179  val 5.158819
epoch 236  train 4.680138  val 5.212026
epoch 237  train 4.721850  val 5.108116
epoch 238  train 4.719823  val 5.171923
epoch 239  train 4.518702  val 5.069317
epoch 240  train 4.810075  val 5.146032
epoch 241  train 4.770115  val 5.100726
epoch 242  train 4.658741  val 5.345182
epoch 243  train 4.833299  val 5.296965
epoch 244  train 4.535091  val 5.198050
epoch 245  train 4.446337  val 5.121573
epoch 246  train 4.772008  val 5.103143
epoch 247  train 4.579291  val 5.087872
epoch 248  train 4.635594  val 5.013181
epoch 249  train 4.629097  val 4.987805
epoch 250  train 4.512916  val 5.112263
epoch 251  train 4.566927  val 5.056873
epoch 252  train 4.604504  val 5.010444
epoch 253  train 4.576194  val 5.060413
epoch 254  train 4.639566  val 5.239905
epoch 255  train 4.340330  val 5.198703
epoch 256  train 4.630658  val 5.135473
epoch 257  train 4.444499  val 4.953316
epoch 258  train 4.529753  val 5.172660
epoch 259  train 4.594426  val 5.320131
epoch 260  train 4.495393  val 5.100366
epoch 261  train 4.484150  val 5.067814
epoch 262  train 4.553353  val 5.122808
epoch 263  train 4.559079  val 5.073516
epoch 264  train 4.683177  val 5.065596
epoch 265  train 4.645392  val 5.044181
epoch 266  train 4.653011  val 5.165954
epoch 267  train 4.542856  val 5.028714
epoch 268  train 4.443256  val 5.078889
epoch 269  train 4.538115  val 5.141953
epoch 270  train 4.590597  val 5.050552
epoch 271  train 4.478011  val 5.232074
epoch 272  train 4.678355  val 5.091873
epoch 273  train 4.656415  val 5.088958
epoch 274  train 4.487089  val 5.077300
epoch 275  train 4.562286  val 5.053387
epoch 276  train 4.462279  val 4.923079
epoch 277  train 4.309515  val 5.052072
epoch 278  train 4.289016  val 4.910388
epoch 279  train 4.499368  val 4.922630
epoch 280  train 4.172195  val 5.097569
epoch 281  train 4.366736  val 5.060916
epoch 282  train 4.583932  val 4.965042
epoch 283  train 4.308654  val 5.005204
epoch 284  train 4.258114  val 5.095224
epoch 285  train 4.372570  val 5.146850
epoch 286  train 4.316525  val 5.257354
epoch 287  train 4.590546  val 5.221545
epoch 288  train 4.353636  val 5.207021
epoch 289  train 4.436838  val 5.100610
epoch 290  train 4.316480  val 5.162385
epoch 291  train 4.410497  val 5.034574
epoch 292  train 4.249090  val 4.981027
epoch 293  train 4.252271  val 5.075588
epoch 294  train 4.420164  val 5.072181
epoch 295  train 4.320613  val 4.995120
epoch 296  train 4.211314  val 5.291311
epoch 297  train 4.661232  val 5.282167
epoch 298  train 4.454263  val 5.152298
